Bind on AR6210 - Tx confirmed DSMX 22ms

Full on
000-00000000001	001-10000010001	010-10000010000	011-01111101111	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111101111	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000110001	010-10000110010	011-01111001110	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010010	---------------	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000110001	010-10000010010	011-01111101110	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010010	---------------	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010010	011-01111101111	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111001111	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	---------------	011-01111101111	---------------	---------------	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010010	---------------	---------------	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-00000000001	110-00000000001
000-00000000001	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-00000000001	110-00000000001

000-10101101000	001-10000010001	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101100	---------------	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	---------------	---------------	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	---------------	---------------	---------------	---------------	110-10000000000
000-10101101000	001-10000010011	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000110001	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010011	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010001	010-10000010000	011-01111101110	100-00000000001	101-10000000000	110-10000000000
000-10101101000	001-10000010011	---------------	011-01111101100	---------------	---------------	110-10000000000
000-10101001000	001-10000010001	010-10000010000	011-01111101100	100-00000000001	101-10000000000	110-10000000000
000-10101001000	001-10000010001	010-10000110000	011-01111001100	100-00000000001	101-10000000000	110-10000000000

000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110010	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001011	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000110100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000110100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	---------------	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110010	100-00000000001	101-10000000000	110-10000000000
000-00000000001	001-10000001100	010-10000010100	011-01111110100	100-00000000001	101-10000000000	110-10000000000
